Ponto	Drenagem	Ab_BL	Ab_Body_elong	Ab_Eye_ver	Ab_Rel_eye	Ab_O_gape	Ab_Body_lat	Ab_pect	Ab_Pect_size	Ab_Caud_ped	Ab_Area.caud	Ab_Area_pec	Ab_rel_algivoro	Ab_rel_detritivoro	Ab_rel_invertivoro	Ab_rel_onivoro	Ab_rel_piscivoro	Riq_algivoro	Riq_detritivoro	Riq_invertivoro	Riq_onivoro	Riq_piscivoro	Riq_rel_detritivoro	Riq_rel_invertivoro	Riq_rel_onivoro	Riq_rel_piscivoro	Riq_total_especies	Riq_Characiformes	Riq_rel_Characiformes	Riq_Siluriformes	Riq_rel_Siluriformes	Riq_Siluri_Characi	Riq_rel_Siluri_Characi	Riq_Cyprinidontiformes	Riq_rel_Cyprinidontiformes	Riq_Gymnotiformes	Riq_rel_Gymnotiformes	Riq_Cicliformes	Riq_rel_Cicliformes	Riq_Poecilia_reticulata	Riq_rel_Poecilia_reticulata	 Riq_Callichthyidae	 Riq_rel_Callichthyidae	 Riq_Characidae	 Riq_rel_Characidae	 Riq_Curimatidae	 Riq_rel_Curimatidae	 Riq_Crenuchidae	 Riq_rel_Crenuchidae	 Riq_Erythrinidae	 Riq_rel_Erythrinidae	 Riq_rel_Gymnotidae	 Riq_Gymnotidae	 Riq_Heptapteridae	 Riq_rel_Heptapteridae	 Riq_Loricariidae	 Riq_rel_Loricariidae	 Riq_Poeciliidae	 Riq_rel_Poeciliidae	Ab_total_especies	Ab_rel_Characiformes	Ab_rel_Siluriformes	Ab_rel_Siluri_Characi	Ab_rel_Cyprinidontiformes	Ab_rel_Gymnotiformes	Ab_rel_Cicliformes	Ab_rel_Poecilia_reticulata	Ab_rel_Callichthyidae	Ab_rel_Characidae	Ab_rel_Curimatidae	Ab_rel_Crenuchidae	Ab_rel_Erythrinidae	Ab_rel_Gymnotidae	Ab_rel_Heptapteridae	Ab_rel_Loricariidae	Ab_rel_Poeciliidae
133	5	67.13	2.67	0.39	0.35	0.23	0.59	0.13	0.62	2.47	3.80	1.10	0.00	0.02	0.45	0.51	0.02	0.00	2.00	2.00	3.00	1.00	0.08	0.08	0.13	0.04	10.00	3.00	0.30	4.00	0.40	7.00	0.70	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	2.00	0.20	2.00	0.20	0.00	0.00	0.00	0.00	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	1.00	0.10	279.00	0.61	0.33	0.94	0.01	0.00	0.05	0.01	0.29	0.59	0.00	0.00	0.02	0.00	0.03	0.00	0.01
134	5	59.86	3.15	0.30	0.43	0.21	0.50	0.13	0.58	2.54	2.30	0.55	0.36	0.00	0.59	0.04	0.01	2.00	0.00	12.00	1.00	1.00	0.00	0.41	0.03	0.03	16.00	10.00	0.63	2.00	0.13	12.00	0.75	0.00	0.00	3.00	0.19	1.00	0.06	0.00	0.00	1.00	0.06	7.00	0.44	0.00	0.00	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	0.00	0.00	0.00	0.00	110.00	0.84	0.05	0.88	0.00	0.11	0.01	0.00	0.04	0.80	0.00	0.01	0.01	0.05	0.01	0.00	0.00
135	5	60.38	3.48	0.41	0.45	0.25	0.60	0.14	0.72	2.84	2.78	0.76	0.03	0.14	0.79	0.03	0.01	2.00	2.00	7.00	1.00	1.00	0.07	0.26	0.04	0.04	13.00	7.00	0.54	3.00	0.23	10.00	0.77	1.00	0.08	1.00	0.08	1.00	0.08	0.00	0.00	1.00	0.08	5.00	0.38	0.00	0.00	0.00	0.00	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	1.00	0.08	175.00	0.77	0.15	0.93	0.03	0.03	0.01	0.00	0.03	0.74	0.00	0.00	0.01	0.03	0.01	0.01	0.03
136	5	86.86	4.89	0.49	0.31	0.12	0.66	0.10	1.00	2.63	3.30	1.23	0.00	0.29	0.27	0.35	0.00	0.00	2.00	6.00	3.00	0.00	0.07	0.21	0.11	0.00	15.00	3.00	0.20	11.00	0.73	14.00	0.93	0.00	0.00	1.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.07	6.00	0.40	5.00	0.33	0.00	0.00	240.00	0.27	0.70	0.97	0.00	0.03	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.03	0.30	0.02	0.00
138	5	75.68	3.27	0.37	0.41	0.20	0.55	0.10	0.69	2.68	3.53	0.86	0.00	0.12	0.58	0.29	0.01	0.00	3.00	5.00	5.00	1.00	0.13	0.21	0.21	0.04	14.00	6.00	0.43	5.00	0.36	11.00	0.79	1.00	0.07	1.00	0.07	1.00	0.07	1.00	0.07	0.00	0.00	5.00	0.36	0.00	0.00	0.00	0.00	1.00	0.07	1.00	0.07	3.00	0.21	2.00	0.14	1.00	0.07	187.00	0.70	0.25	0.95	0.04	0.01	0.01	0.04	0.00	0.69	0.00	0.00	0.01	0.01	0.17	0.01	0.04
140	4	68.63	4.92	0.48	0.28	0.06	0.61	0.19	0.88	2.10	2.00	0.81	0.00	0.00	0.76	0.19	0.00	0.00	0.00	6.00	3.00	0.00	0.00	0.33	0.17	0.00	17.00	4.00	0.24	9.00	0.53	13.00	0.76	1.00	0.06	3.00	0.18	0.00	0.00	0.00	0.00	2.00	0.12	3.00	0.18	0.00	0.00	1.00	0.06	0.00	0.00	1.00	0.06	4.00	0.24	2.00	0.12	1.00	0.06	204.00	0.17	0.79	0.96	0.00	0.03	0.00	0.00	0.01	0.11	0.00	0.06	0.00	0.02	0.69	0.01	0.00
141	4	42.79	3.33	0.29	0.45	0.18	0.54	0.20	0.72	2.06	2.24	0.46	0.27	0.43	0.29	0.00	0.02	1.00	1.00	5.00	0.00	1.00	0.06	0.31	0.00	0.06	16.00	10.00	0.63	2.00	0.13	12.00	0.75	2.00	0.13	2.00	0.13	0.00	0.00	1.00	0.06	1.00	0.06	7.00	0.44	1.00	0.06	0.00	0.00	1.00	0.06	1.00	0.06	1.00	0.06	0.00	0.00	2.00	0.13	478.00	0.46	0.11	0.57	0.42	0.00	0.00	0.00	0.10	0.44	0.00	0.00	0.02	0.00	0.01	0.00	0.42
142	4	55.78	2.88	0.32	0.43	0.24	0.52	0.13	0.64	2.34	2.88	0.63	0.00	0.17	0.57	0.25	0.01	0.00	1.00	3.00	3.00	1.00	0.05	0.14	0.14	0.05	8.00	2.00	0.25	3.00	0.38	5.00	0.63	1.00	0.13	1.00	0.13	0.00	0.00	1.00	0.13	1.00	0.13	2.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.13	2.00	0.25	0.00	0.00	1.00	0.13	158.00	0.60	0.17	0.77	0.17	0.05	0.00	0.17	0.16	0.60	0.00	0.00	0.00	0.05	0.01	0.00	0.17
143	4	76.85	4.39	0.45	0.29	0.08	0.58	0.19	0.75	2.21	2.61	0.79	0.00	0.01	0.82	0.17	0.00	0.00	1.00	11.00	2.00	0.00	0.04	0.46	0.08	0.00	14.00	6.00	0.43	4.00	0.29	10.00	0.71	0.00	0.00	3.00	0.21	1.00	0.07	0.00	0.00	1.00	0.07	3.00	0.21	0.00	0.00	1.00	0.07	0.00	0.00	1.00	0.07	2.00	0.14	1.00	0.07	0.00	0.00	170.00	0.29	0.66	0.95	0.00	0.05	0.01	0.00	0.02	0.19	0.00	0.02	0.00	0.01	0.64	0.01	0.00
144	4	55.80	3.60	0.44	0.42	0.21	0.62	0.14	0.75	2.80	2.48	0.69	0.00	0.10	0.72	0.16	0.00	0.00	3.00	4.00	2.00	0.00	0.12	0.15	0.08	0.00	14.00	6.00	0.43	5.00	0.36	11.00	0.79	1.00	0.07	1.00	0.07	1.00	0.07	0.00	0.00	1.00	0.07	5.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.07	2.00	0.14	2.00	0.14	1.00	0.07	294.00	0.72	0.26	0.99	0.01	0.00	0.00	0.00	0.03	0.71	0.00	0.00	0.00	0.00	0.14	0.01	0.01
145	2	48.80	3.19	0.34	0.46	0.21	0.56	0.14	0.67	2.77	2.56	0.69	0.36	0.14	0.27	0.22	0.01	2.00	2.00	8.00	3.00	1.00	0.10	0.38	0.14	0.05	16.00	11.00	0.69	2.00	0.13	13.00	0.81	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	8.00	0.50	1.00	0.06	1.00	0.06	1.00	0.06	0.00	0.00	1.00	0.06	0.00	0.00	1.00	0.06	173.00	0.83	0.02	0.85	0.13	0.01	0.02	0.13	0.01	0.77	0.01	0.05	0.01	0.00	0.01	0.00	0.13
146	2	41.51	3.40	0.34	0.46	0.25	0.59	0.18	0.92	1.81	2.96	0.91	0.00	0.68	0.32	0.00	0.00	0.00	2.00	3.00	0.00	0.00	0.14	0.21	0.00	0.00	6.00	3.00	0.50	2.00	0.33	5.00	0.83	1.00	0.17	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	3.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	243.00	0.17	0.21	0.37	0.63	0.00	0.00	0.63	0.16	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.63
147	2	56.02	4.26	0.51	0.36	0.08	0.69	0.08	0.98	2.45	2.32	1.05	0.00	0.32	0.28	0.31	0.00	0.00	1.00	6.00	1.00	0.00	0.05	0.27	0.05	0.00	12.00	7.00	0.58	5.00	0.42	12.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.17	4.00	0.33	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	2.00	0.17	1.00	0.08	0.00	0.00	405.00	0.55	0.45	1.00	0.00	0.00	0.00	0.00	0.02	0.34	0.00	0.11	0.00	0.00	0.11	0.00	0.00
148	2	55.37	2.97	0.37	0.47	0.25	0.56	0.14	0.65	2.85	2.80	0.66	0.01	0.05	0.91	0.03	0.00	1.00	4.00	6.00	2.00	0.00	0.19	0.29	0.10	0.00	16.00	10.00	0.63	3.00	0.19	13.00	0.81	1.00	0.06	0.00	0.00	2.00	0.13	0.00	0.00	1.00	0.06	6.00	0.38	2.00	0.13	0.00	0.00	1.00	0.06	0.00	0.00	1.00	0.06	1.00	0.06	1.00	0.06	389.00	0.94	0.04	0.98	0.01	0.00	0.01	0.00	0.02	0.92	0.02	0.00	0.00	0.00	0.01	0.00	0.01
149	2	51.68	3.23	0.41	0.46	0.26	0.60	0.15	0.69	2.94	2.46	0.58	0.01	0.03	0.93	0.03	0.00	1.00	1.00	5.00	1.00	0.00	0.05	0.23	0.05	0.00	13.00	7.00	0.54	5.00	0.38	12.00	0.92	0.00	0.00	0.00	0.00	1.00	0.08	0.00	0.00	2.00	0.15	5.00	0.38	1.00	0.08	0.00	0.00	1.00	0.08	0.00	0.00	2.00	0.15	1.00	0.08	0.00	0.00	287.00	0.89	0.11	1.00	0.00	0.00	0.00	0.00	0.05	0.88	0.00	0.00	0.00	0.00	0.03	0.00	0.00
150	1	75.59	3.28	0.37	0.42	0.18	0.57	0.08	0.73	2.60	3.62	1.04	0.00	0.08	0.58	0.28	0.00	0.00	2.00	7.00	4.00	0.00	0.08	0.29	0.17	0.00	18.00	8.00	0.44	7.00	0.39	15.00	0.83	0.00	0.00	1.00	0.06	1.00	0.06	0.00	0.00	1.00	0.06	5.00	0.28	0.00	0.00	2.00	0.11	0.00	0.00	1.00	0.06	3.00	0.17	3.00	0.17	0.00	0.00	203.00	0.71	0.26	0.98	0.00	0.01	0.01	0.00	0.08	0.65	0.00	0.01	0.00	0.01	0.09	0.01	0.00
151	1	59.67	3.53	0.36	0.46	0.24	0.62	0.09	0.71	2.59	2.55	0.75	0.00	0.01	0.87	0.08	0.04	0.00	1.00	6.00	2.00	1.00	0.05	0.29	0.10	0.05	9.00	5.00	0.56	2.00	0.22	7.00	0.78	0.00	0.00	1.00	0.11	1.00	0.11	0.00	0.00	0.00	0.00	4.00	0.44	0.00	0.00	0.00	0.00	1.00	0.11	1.00	0.11	1.00	0.11	1.00	0.11	0.00	0.00	94.00	0.89	0.05	0.95	0.00	0.03	0.02	0.00	0.03	0.85	0.00	0.00	0.04	0.03	0.01	0.01	0.00
152	1	59.77	3.21	0.40	0.39	0.19	0.59	0.07	0.72	2.63	2.91	0.76	0.00	0.00	0.54	0.46	0.00	0.00	0.00	6.00	5.00	0.00	0.00	0.22	0.19	0.00	11.00	7.00	0.64	2.00	0.18	9.00	0.82	0.00	0.00	0.00	0.00	2.00	0.18	0.00	0.00	1.00	0.09	7.00	0.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.09	0.00	0.00	0.00	0.00	185.00	0.74	0.25	0.99	0.00	0.00	0.01	0.00	0.21	0.74	0.00	0.00	0.00	0.00	0.04	0.00	0.00
154	1	74.35	3.78	0.42	0.41	0.22	0.62	0.13	0.72	2.80	3.39	0.95	0.01	0.06	0.41	0.52	0.00	1.00	2.00	9.00	4.00	0.00	0.07	0.32	0.14	0.00	16.00	11.00	0.69	3.00	0.19	14.00	0.88	1.00	0.06	0.00	0.00	1.00	0.06	1.00	0.06	0.00	0.00	8.00	0.50	0.00	0.00	2.00	0.13	0.00	0.00	0.00	0.00	2.00	0.13	1.00	0.06	1.00	0.06	171.00	0.76	0.19	0.95	0.04	0.00	0.02	0.04	0.00	0.73	0.00	0.02	0.00	0.00	0.16	0.01	0.04
155	1	62.66	3.23	0.35	0.45	0.20	0.56	0.09	0.69	2.76	2.96	0.71	0.00	0.02	0.62	0.36	0.00	0.00	2.00	7.00	3.00	0.00	0.10	0.35	0.15	0.00	13.00	9.00	0.69	3.00	0.23	12.00	0.92	1.00	0.08	0.00	0.00	0.00	0.00	1.00	0.08	0.00	0.00	5.00	0.38	0.00	0.00	3.00	0.23	0.00	0.00	0.00	0.00	2.00	0.15	1.00	0.08	1.00	0.08	215.00	0.91	0.08	0.99	0.01	0.00	0.00	0.01	0.00	0.81	0.00	0.09	0.00	0.00	0.07	0.00	0.01
156	1	53.85	3.18	0.33	0.48	0.26	0.56	0.12	0.74	2.19	3.04	0.68	0.00	0.35	0.54	0.11	0.00	0.00	2.00	4.00	2.00	0.00	0.13	0.25	0.13	0.00	8.00	4.00	0.50	3.00	0.38	7.00	0.88	1.00	0.13	0.00	0.00	0.00	0.00	1.00	0.13	1.00	0.13	4.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.13	1.00	0.13	1.00	0.13	146.00	0.58	0.09	0.66	0.34	0.00	0.00	0.34	0.03	0.58	0.00	0.00	0.00	0.00	0.05	0.01	0.34
157	1	48.18	3.23	0.42	0.32	0.12	0.62	0.05	0.83	2.21	2.44	0.82	0.00	0.01	0.94	0.04	0.01	0.00	1.00	4.00	2.00	1.00	0.05	0.19	0.10	0.05	13.00	7.00	0.54	4.00	0.31	11.00	0.85	0.00	0.00	0.00	0.00	2.00	0.15	0.00	0.00	1.00	0.08	7.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.08	2.00	0.15	0.00	0.00	291.00	0.48	0.48	0.96	0.00	0.00	0.04	0.00	0.46	0.48	0.00	0.00	0.00	0.00	0.01	0.01	0.00
159	1	64.31	4.05	0.43	0.32	0.13	0.62	0.08	0.83	2.04	2.38	0.83	0.00	0.02	0.82	0.14	0.02	0.00	1.00	8.00	3.00	1.00	0.03	0.24	0.09	0.03	12.00	7.00	0.58	4.00	0.33	11.00	0.92	0.00	0.00	1.00	0.08	0.00	0.00	0.00	0.00	1.00	0.08	5.00	0.42	0.00	0.00	1.00	0.08	1.00	0.08	1.00	0.08	2.00	0.17	1.00	0.08	0.00	0.00	64.00	0.45	0.47	0.92	0.00	0.08	0.00	0.00	0.34	0.39	0.00	0.05	0.02	0.02	0.11	0.02	0.00
160	1	66.21	3.90	0.43	0.42	0.22	0.65	0.10	0.75	2.87	2.96	0.90	0.00	0.07	0.36	0.55	0.01	0.00	4.00	9.00	5.00	1.00	0.12	0.27	0.15	0.03	18.00	11.00	0.61	6.00	0.33	17.00	0.94	1.00	0.06	0.00	0.00	0.00	0.00	1.00	0.06	1.00	0.06	6.00	0.33	1.00	0.06	1.00	0.06	1.00	0.06	0.00	0.00	3.00	0.17	2.00	0.11	1.00	0.06	156.00	0.84	0.14	0.98	0.01	0.01	0.00	0.01	0.02	0.79	0.01	0.01	0.01	0.00	0.08	0.01	0.01
163	1	87.54	4.13	0.42	0.37	0.17	0.63	0.10	0.80	2.88	3.78	1.09	0.00	0.19	0.54	0.24	0.00	0.00	1.00	6.00	5.00	0.00	0.06	0.33	0.28	0.00	13.00	7.00	0.54	6.00	0.46	13.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.23	2.00	0.15	0.00	0.00	32.00	0.59	0.41	1.00	0.00	0.00	0.00	0.00	0.00	0.56	0.00	0.00	0.00	0.00	0.16	0.06	0.00
168	1	42.16	3.58	0.44	0.28	0.04	0.60	0.03	0.96	1.82	1.87	0.89	0.00	0.00	0.92	0.08	0.00	0.00	0.00	4.00	1.00	0.00	0.00	0.67	0.17	0.00	5.00	4.00	0.80	1.00	0.20	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	2.00	0.40	0.00	0.00	2.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	13.00	0.46	0.54	1.00	0.00	0.00	0.00	0.00	0.54	0.15	0.00	0.31	0.00	0.00	0.00	0.00	0.00
169	1	85.77	2.73	0.31	0.47	0.25	0.51	0.05	0.61	2.96	4.07	0.70	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.20	0.00	1.00	1.00	1.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
170	1	74.47	3.03	0.34	0.46	0.24	0.54	0.05	0.61	2.61	3.46	0.60	0.00	0.00	0.55	0.45	0.00	0.00	0.00	2.00	2.00	0.00	0.00	0.20	0.20	0.00	4.00	3.00	0.75	1.00	0.25	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.25	0.00	0.00	0.00	0.00	31.00	0.90	0.10	1.00	0.00	0.00	0.00	0.00	0.00	0.90	0.00	0.00	0.00	0.00	0.10	0.00	0.00
171	1	82.41	3.93	0.34	0.42	0.25	0.55	0.20	0.82	1.70	3.71	0.96	0.00	0.48	0.52	0.00	0.00	0.00	1.00	5.00	0.00	0.00	0.05	0.26	0.00	0.00	6.00	2.00	0.33	2.00	0.33	4.00	0.67	1.00	0.17	1.00	0.17	0.00	0.00	1.00	0.17	1.00	0.17	2.00	0.33	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.17	1.00	0.17	0.00	0.00	1.00	0.17	31.00	0.16	0.29	0.45	0.48	0.06	0.00	0.48	0.06	0.16	0.00	0.00	0.00	0.06	0.23	0.00	0.48
172	1	58.11	3.27	0.37	0.47	0.24	0.59	0.09	0.71	2.70	2.98	0.71	0.00	0.17	0.37	0.46	0.00	0.00	2.00	7.00	4.00	0.00	0.09	0.32	0.18	0.00	13.00	9.00	0.69	3.00	0.23	12.00	0.92	1.00	0.08	0.00	0.00	0.00	0.00	1.00	0.08	0.00	0.00	8.00	0.62	0.00	0.00	1.00	0.08	0.00	0.00	0.00	0.00	2.00	0.15	1.00	0.08	1.00	0.08	196.00	0.82	0.07	0.89	0.11	0.00	0.00	0.11	0.00	0.81	0.00	0.01	0.00	0.00	0.02	0.01	0.11
173	1	58.11	3.50	0.39	0.41	0.18	0.61	0.07	0.77	2.57	2.56	0.76	0.00	0.00	0.51	0.49	0.00	0.00	0.00	7.00	2.00	0.00	0.00	0.33	0.10	0.00	9.00	7.00	0.78	1.00	0.11	8.00	0.89	0.00	0.00	1.00	0.11	0.00	0.00	0.00	0.00	1.00	0.11	5.00	0.56	0.00	0.00	2.00	0.22	0.00	0.00	1.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	88.00	0.83	0.16	0.99	0.00	0.01	0.00	0.00	0.16	0.72	0.00	0.11	0.00	0.01	0.00	0.00	0.00
174	1	51.25	3.73	0.40	0.41	0.19	0.66	0.07	0.81	2.55	2.41	0.83	0.00	0.10	0.78	0.10	0.00	0.00	3.00	4.00	4.00	0.00	0.12	0.16	0.16	0.00	17.00	9.00	0.53	4.00	0.24	13.00	0.76	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	1.00	0.06	5.00	0.29	2.00	0.12	0.00	0.00	0.00	0.00	1.00	0.06	1.00	0.06	2.00	0.12	1.00	0.06	323.00	0.72	0.25	0.97	0.01	0.01	0.01	0.01	0.16	0.69	0.01	0.00	0.00	0.01	0.00	0.01	0.01
175	1	62.78	3.26	0.35	0.44	0.20	0.58	0.07	0.71	2.61	2.85	0.72	0.00	0.02	0.67	0.30	0.01	0.00	1.00	7.00	4.00	1.00	0.05	0.33	0.19	0.05	12.00	8.00	0.67	3.00	0.25	11.00	0.92	0.00	0.00	0.00	0.00	1.00	0.08	0.00	0.00	1.00	0.08	4.00	0.33	0.00	0.00	2.00	0.17	1.00	0.08	0.00	0.00	1.00	0.08	1.00	0.08	0.00	0.00	83.00	0.86	0.12	0.98	0.00	0.01	0.01	0.00	0.08	0.76	0.00	0.04	0.01	0.00	0.01	0.01	0.00
176	1	71.03	3.62	0.38	0.42	0.22	0.57	0.12	0.65	2.64	2.77	0.66	0.00	0.00	0.54	0.46	0.00	0.00	0.00	6.00	2.00	0.00	0.00	0.23	0.08	0.00	7.00	4.00	0.57	2.00	0.29	6.00	0.86	0.00	0.00	1.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	4.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.14	2.00	0.29	0.00	0.00	0.00	0.00	26.00	0.81	0.12	0.92	0.00	0.08	0.00	0.00	0.00	0.81	0.00	0.00	0.00	0.04	0.12	0.00	0.00
177	1	105.68	4.72	0.37	0.34	0.24	0.57	0.25	0.72	1.43	2.24	1.15	0.00	0.13	0.75	0.13	0.00	0.00	4.00	10.00	4.00	0.00	0.14	0.36	0.14	0.00	34.00	11.00	0.32	16.00	0.47	27.00	0.79	1.00	0.03	1.00	0.03	4.00	0.12	1.00	0.03	12.00	0.35	6.00	0.18	1.00	0.03	2.00	0.06	2.00	0.06	1.00	0.03	1.00	0.03	3.00	0.09	1.00	0.03	402.00	0.34	0.12	0.46	0.07	0.32	0.15	0.07	0.06	0.29	0.01	0.03	0.01	0.30	0.02	0.01	0.07
178	1	74.19	2.80	0.31	0.47	0.24	0.50	0.08	0.59	2.85	3.40	0.56	0.00	0.01	0.08	0.90	0.01	0.00	1.00	5.00	3.00	1.00	0.08	0.38	0.23	0.08	10.00	5.00	0.50	3.00	0.30	8.00	0.80	1.00	0.10	1.00	0.10	0.00	0.00	1.00	0.10	1.00	0.10	5.00	0.50	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.10	2.00	0.20	0.00	0.00	1.00	0.10	151.00	0.93	0.04	0.97	0.01	0.03	0.00	0.01	0.01	0.93	0.00	0.00	0.00	0.03	0.03	0.00	0.01
179	1	63.84	4.74	0.49	0.28	0.08	0.66	0.19	0.83	2.50	2.44	0.80	0.00	0.00	0.85	0.15	0.00	0.00	0.00	2.00	1.00	0.00	0.00	0.14	0.07	0.00	9.00	1.00	0.11	8.00	0.89	9.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	7.00	0.78	1.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.11	0.00	0.00	0.00	0.00	13.00	0.15	0.85	1.00	0.00	0.00	0.00	0.00	0.54	0.15	0.00	0.00	0.00	0.00	0.31	0.00	0.00
180	1	74.20	3.62	0.41	0.39	0.19	0.60	0.12	0.73	2.53	3.40	1.13	0.00	0.08	0.51	0.37	0.04	0.00	2.00	6.00	2.00	1.00	0.07	0.20	0.07	0.03	22.00	3.00	0.14	15.00	0.68	18.00	0.82	1.00	0.05	1.00	0.05	1.00	0.05	1.00	0.05	12.00	0.55	2.00	0.09	0.00	0.00	1.00	0.05	0.00	0.00	1.00	0.05	2.00	0.09	1.00	0.05	1.00	0.05	79.00	0.59	0.29	0.89	0.04	0.01	0.03	0.04	0.15	0.49	0.00	0.10	0.00	0.01	0.10	0.01	0.04
181	1	67.07	3.53	0.36	0.43	0.20	0.56	0.11	0.67	2.52	2.61	0.72	0.00	0.05	0.62	0.29	0.03	0.00	3.00	9.00	4.00	2.00	0.09	0.28	0.13	0.06	21.00	13.00	0.62	5.00	0.24	18.00	0.86	0.00	0.00	1.00	0.05	1.00	0.05	0.00	0.00	1.00	0.05	7.00	0.33	2.00	0.10	2.00	0.10	1.00	0.05	1.00	0.05	2.00	0.10	2.00	0.10	0.00	0.00	356.00	0.82	0.06	0.88	0.00	0.09	0.01	0.00	0.00	0.69	0.03	0.08	0.01	0.04	0.04	0.01	0.00
184	1	67.23	3.18	0.39	0.43	0.23	0.59	0.13	0.68	2.81	3.34	1.05	0.00	0.02	0.40	0.58	0.00	0.00	1.00	8.00	4.00	0.00	0.04	0.35	0.17	0.00	34.00	13.00	0.38	14.00	0.41	27.00	0.79	1.00	0.03	1.00	0.03	4.00	0.12	1.00	0.03	7.00	0.21	8.00	0.24	2.00	0.06	2.00	0.06	1.00	0.03	1.00	0.03	2.00	0.06	5.00	0.15	1.00	0.03	1955.00	0.82	0.04	0.87	0.02	0.01	0.11	0.02	0.00	0.77	0.01	0.04	0.00	0.01	0.03	0.00	0.02
185	1	61.34	2.65	0.30	0.49	0.24	0.51	0.08	0.60	2.82	3.09	0.54	0.00	0.02	0.43	0.54	0.01	0.00	1.00	4.00	4.00	1.00	0.05	0.18	0.18	0.05	10.00	6.00	0.60	0.00	0.00	6.00	0.60	1.00	0.10	1.00	0.10	2.00	0.20	1.00	0.10	0.00	0.00	5.00	0.50	0.00	0.00	0.00	0.00	1.00	0.10	1.00	0.10	0.00	0.00	0.00	0.00	1.00	0.10	193.00	0.96	0.00	0.96	0.02	0.01	0.01	0.02	0.00	0.95	0.00	0.00	0.01	0.01	0.00	0.00	0.02
186	1	87.38	3.26	0.34	0.41	0.24	0.54	0.16	0.65	2.35	3.67	1.11	0.00	0.09	0.35	0.55	0.01	0.00	1.00	5.00	5.00	1.00	0.05	0.24	0.24	0.05	17.00	6.00	0.35	7.00	0.41	13.00	0.76	1.00	0.06	1.00	0.06	2.00	0.12	1.00	0.06	6.00	0.35	5.00	0.29	0.00	0.00	0.00	0.00	1.00	0.06	1.00	0.06	1.00	0.06	0.00	0.00	1.00	0.06	112.00	0.60	0.10	0.70	0.09	0.09	0.13	0.09	0.05	0.59	0.00	0.00	0.01	0.09	0.04	0.00	0.09
